Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Unidades por kilo mmpp propia*,87,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,4,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2937250,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2258486.684,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Sudmaris
Unidades por kilo mmpp propia*,82.619926199262,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1208675,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1054905.6460000002,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Sudmaris
Unidades por kilo mmpp terceros*,50.968,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Sudmaris
Unidades por kilo mmpp propia*,82.619926199262,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,5,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2876653.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,6,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,2317048.0699999994,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Sudmaris
Unidades por kilo mmpp propia*,87,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,6,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1095123.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,6,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,928906.6859999999,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,6,2021,Sudmaris
Unidades por kilo mmpp terceros*,53,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,6,2021,Sudmaris
Unidades por kilo mmpp propia*,87,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,6,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2648801.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,7,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,1676993.8499999999,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Sudmaris
Unidades por kilo mmpp propia*,58.991769547325106,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,7,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,1448252,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,7,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1245556.5400000003,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,7,2021,Sudmaris
Unidades por kilo mmpp terceros*,55.74825174825175,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,7,2021,Sudmaris
Unidades por kilo mmpp propia*,58.991769547325106,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes, ,7,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,381190,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,318517.1400000001,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Sudmaris
Unidades por kilo mmpp propia*,53.515151515151516,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,4016453.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,3445273.3400000003,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Sudmaris
Unidades por kilo mmpp terceros*,62.724137931034484,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,532159.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,463951.46000000014,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2021,Sudmaris
Unidades por kilo mmpp terceros*,55,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2021,Sudmaris
Ingreso Materia Prima Bruta Propia,2285150.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Blue Shell
Ingreso Materia Prima Neta Propia,2049661.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,1,2021,Blue Shell
Unidades por kilo mmpp propia*,55.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,2448660.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Blue Shell
Ingreso Materia Prima Neta Terceros,2167151.0,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,1,2021,Blue Shell
Unidades por kilo mmpp terceros*,69.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Blue Shell
Ingreso Materia Prima Bruta Propia,1814450.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Blue Shell
Ingreso Materia Prima Neta Propia,1610978.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,2,2021,Blue Shell
Unidades por kilo mmpp propia*,48.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Blue Shell
Ingreso Materia Prima Bruta Terceros,2374390.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Blue Shell
