Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Rendimiento Olla mmpp Propia,,0.247,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,6,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.228,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,6,2021,Quemchi
Carne,50-100 UNI/KG,4740,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Carne,100-200 UNI/KG,92576,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Carne,200-300 UNI/KG,453333.4,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Carne,300-500 UNI/KG,206038,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Carne,500-1000 UNI/KG,16500,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Carne,INDUSTRIAL,31330,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Media Concha,40-60 UNI/KG,11034,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Media Concha,60-80 UNI/KG,28733,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Media Concha,80-100 UNI/KG,4725,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Media Concha,100 UP UNI/KG,1998,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,5,2021,Quemchi
Rendimiento Olla mmpp Propia,,0.259,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,5,2021,Quemchi
Rendimiento Olla mmpp Terceros,,0.239,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,5,2021,Quemchi
