Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
rechazo propio,,,,5,2020,Blue Shell
rechazo terceros,,,,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264.0,,,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72.0,,,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410.0,,,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,,,5,2020,Blue Shell
rechazo propio,0.14868518963721078,,,5,2020,Blue Shell
rechazo terceros,0.0980770344208668,,,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020.0,,,5,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2763440.0,,,5,2020,Blue Shell
rechazo terceros,0.09807703442086675,,,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020.0,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264.0,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72.0,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,,5,2020,Blue Shell
Ingreso Materia Prima Bruta Terceros,2763440.0,Total Kilos mmpp de centros de terceros ingresados a planta al mes,,5,2020,Blue Shell
Ingreso Materia Prima Neta Terceros,2492410.0,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes,,5,2020,Blue Shell
Unidades por kilo mmpp terceros*,70.4,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,,5,2020,Blue Shell
Ingreso Materia Prima Bruta Propia,1747020.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,5,2020,Blue Shell
Ingreso Materia Prima Neta Propia,1487264.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes,5,2020,Blue Shell
Unidades por kilo mmpp propia*,72.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2020,Blue Shell
