FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-06-02 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4217654740240155,Spot,Rusia,Data Mussel,22,6,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4217654740240155,64244.13684428233,1.4217654740240155
2021-06-04 00:00:00,ENTERO,SIN SALSA,C18-27,34019.914520465485,0.9023375292469299,Contrato,Usa,Data Mussel,22,6,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9023375292469299,30697.44561358858,0.9023375292469299
2021-06-08 00:00:00,ENTERO,SIN SALSA,C40-60,38408.24476000575,0.9880065158471971,Contrato,Rusia,Data Mussel,23,6,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9880065158471971,37947.596085139645,0.9880065158471971
2021-06-09 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.4458631939227278,Contrato,Rusia,Data Mussel,23,6,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4458631939227278,65333.020519609156,1.4458631939227278
2021-06-09 00:00:00,CARNE,GRANEL,C100-200,45186.170305889114,1.5326149855580915,Contrato,Corea,Data Mussel,23,6,2021,Asia,Asia,Asia,Asia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.5326149855580915,69253.00175078571,1.5326149855580915
2021-06-09 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.4458631939227278,Spot,España,Data Mussel,23,6,2021,Europa,España,España,Otros europa,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.4458631939227278,65333.020519609156,1.4458631939227278
2021-06-09 00:00:00,ENTERO,SIN SALSA,C20-40,36926.5149253918,1.0120939149970616,Contrato,Rusia,Data Mussel,23,6,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,1.0120939149970616,37373.10105803722,1.0120939149970616
2021-06-11 00:00:00,CARNE,GRANEL,C200-400,45186.170305889114,1.3976677541253033,Spot,Ucrania,Data Mussel,23,6,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,63155.25316895551,1.3976677541253033
2021-06-11 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.3735700342265913,Spot,Ucrania,Data Mussel,23,6,2021,Uee,Otros uee,Uee,Otros uee,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3735700342265913,62066.36949362869,1.3735700342265913
2021-06-14 00:00:00,CARNE,GRANEL,C300-500,45186.170305889114,1.325374594429167,Contrato,Francia,Data Mussel,24,6,2021,Europa,Francia,Francia,Francia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.325374594429167,59888.602142975054,1.325374594429167
